update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.707853,0.711779,nan,0.200000,nan,1.887447
2,0.605841,0.608849,1.363199,0.200020,-6.678075,1.662522
3,0.672994,0.672968,nan,0.200020,nan,1.781454
4,0.648317,0.646123,1.542008,0.200040,-7.517442,1.738097
5,0.617197,0.611664,nan,0.200040,nan,1.695328
6,0.543344,0.537808,1.626188,0.200060,-7.894057,1.520090
7,0.629274,0.627253,nan,0.200060,nan,1.707272
8,0.586016,0.584792,1.723609,0.200080,-8.385986,1.571900
9,0.615290,0.616300,nan,0.200080,nan,1.641891
10,0.576712,0.578471,1.613400,0.200100,-7.802417,1.601785
11,0.623069,0.625943,nan,0.200100,nan,1.698574
12,0.676185,0.677737,1.295614,0.200119,-6.177641,1.818207
13,0.547628,0.547999,nan,0.200119,nan,1.542931
14,0.771195,0.770720,1.786400,0.200139,-8.583727,1.991317
15,0.664279,0.662050,nan,0.200139,nan,1.797409
16,0.433472,0.432087,1.518961,0.200158,-7.149154,1.256590
17,0.626075,0.624327,nan,0.200158,nan,1.684851
18,0.627167,0.625849,1.858461,0.200178,-8.831974,1.695808
19,0.651597,0.651870,nan,0.200178,nan,1.774409
20,0.460920,0.461740,1.462973,0.200198,-6.776066,1.355542
21,0.535450,0.536488,nan,0.200198,nan,1.532986
22,0.524343,0.524530,1.390277,0.200216,-6.372712,1.497946
23,0.708769,0.708385,nan,0.200216,nan,1.876809
24,0.630828,0.630558,1.316008,0.200234,-5.829961,1.747876
25,0.749139,0.748550,nan,0.200234,nan,1.982766
26,0.617226,0.616125,1.441239,0.200252,-6.440384,1.687269
27,0.613934,0.614061,nan,0.200252,nan,1.694711
28,0.763041,0.763077,1.615407,0.200270,-7.113975,1.997508
29,0.620835,0.621173,nan,0.200270,nan,1.705359
30,0.623236,0.623614,1.544859,0.200288,-6.553156,1.700372
31,0.624169,0.623120,nan,0.200288,nan,1.693024
32,0.652970,0.652235,1.930241,0.200306,-8.335678,1.758203
33,0.568605,0.568574,nan,0.200306,nan,1.592655
34,0.454818,0.454208,1.720264,0.200325,-7.137437,1.339075
35,0.525203,0.524161,nan,0.200325,nan,1.473530
36,0.582782,0.580657,1.321547,0.200342,-4.972323,1.622128
37,0.535287,0.533602,nan,0.200342,nan,1.473746
38,0.508673,0.508398,1.755807,0.200359,-7.099524,1.450365
39,0.498554,0.496871,nan,0.200359,nan,1.395235
40,0.741393,0.740900,1.250594,0.200375,-4.408809,1.950351
41,0.486591,0.484070,nan,0.200375,nan,1.402192
42,0.438278,0.435069,1.296516,0.200389,-4.164072,1.289814
43,0.583986,0.581258,nan,0.200389,nan,1.604275
44,0.592888,0.592035,2.280521,0.200405,-8.951447,1.635537
45,0.666885,0.664091,nan,0.200405,nan,1.798577
46,0.467116,0.460386,1.657044,0.200419,-5.444194,1.362144
47,0.529332,0.524428,nan,0.200419,nan,1.477827
48,0.410792,0.406614,2.120882,0.200435,-7.922085,1.268364
49,0.597136,0.594983,nan,0.200435,nan,1.642431
50,0.476583,0.474959,1.920456,0.200451,-6.214377,1.365408
51,0.478697,0.475866,nan,0.200451,nan,1.386105
52,0.443533,0.441029,1.996013,0.200466,-6.684728,1.322360
53,0.537048,0.536173,nan,0.200466,nan,1.507046
54,0.583766,0.584205,2.116183,0.200483,-7.096468,1.619124
55,0.445984,0.443433,nan,0.200483,nan,1.331972
56,0.552536,0.549622,2.613596,0.200500,-9.351297,1.549221
57,0.405875,0.403497,nan,0.200500,nan,1.222081
58,0.340921,0.336051,1.924095,0.200517,-5.873946,1.093307
59,0.402967,0.400150,nan,0.200517,nan,1.232402
60,0.555458,0.553962,2.071773,0.200534,-6.700650,1.548696
61,0.499823,0.503985,nan,0.200534,nan,1.420275
62,0.459726,0.460665,2.363067,0.200552,-8.611325,1.357376
63,0.451084,0.448778,nan,0.200552,nan,1.343685
64,0.426855,0.424555,2.198691,0.200570,-7.237087,1.271135
65,0.486221,0.482379,nan,0.200570,nan,1.421041
66,0.382780,0.380154,2.556033,0.200589,-8.929375,1.163710
67,0.327939,0.326055,nan,0.200589,nan,1.030013
68,0.566772,0.565892,1.962120,0.200607,-5.740289,1.572687
69,0.403853,0.402271,nan,0.200607,nan,1.204628
70,0.494455,0.492943,2.832380,0.200627,-9.351738,1.394932
