update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.859857,0.855091,nan,0.200000,nan,2.202852
2,0.683842,0.680712,1.160168,0.200020,-5.742742,1.811563
3,0.862208,0.860978,nan,0.200020,nan,2.198185
4,0.846113,0.846648,0.897785,0.200031,-4.395606,2.163476
5,0.649014,0.650357,nan,0.200031,nan,1.773694
6,0.761271,0.762514,1.389636,0.200046,-6.817748,1.994048
7,0.680791,0.680195,nan,0.200046,nan,1.801680
8,0.670364,0.669451,1.726298,0.200062,-8.480178,1.809496
9,0.857086,0.856742,nan,0.200062,nan,2.173212
10,0.726772,0.725358,1.684171,0.200080,-8.225378,1.910050
11,0.951740,0.951795,nan,0.200080,nan,2.370008
12,0.802281,0.802535,1.484228,0.200098,-7.146297,2.089796
13,0.875257,0.875310,nan,0.200098,nan,2.247513
14,0.590251,0.590321,1.723517,0.200117,-8.313082,1.660267
15,0.858656,0.858095,nan,0.200117,nan,2.188473
16,1.058954,1.058081,2.150728,0.200136,-10.396110,2.606179
17,0.670280,0.669996,nan,0.200136,nan,1.799883
18,0.690190,0.690927,1.868144,0.200155,-8.907486,1.845578
19,0.880572,0.882042,nan,0.200155,nan,2.230215
20,0.713598,0.714147,1.608168,0.200175,-7.572630,1.874011
21,0.911025,0.910675,nan,0.200175,nan,2.267601
22,0.756929,0.757683,2.010969,0.200195,-9.487337,1.943175
23,0.683476,0.685131,nan,0.200195,nan,1.849822
24,0.932471,0.933877,1.368426,0.200214,-6.056000,2.349682
25,0.656033,0.655875,nan,0.200214,nan,1.767128
26,0.954223,0.953314,1.903749,0.200233,-8.917043,2.396001
27,0.757418,0.754882,nan,0.200233,nan,1.975630
28,0.799786,0.799116,1.602233,0.200252,-7.255713,2.075115
29,0.709339,0.709897,nan,0.200252,nan,1.873168
30,0.736681,0.739425,1.511089,0.200270,-6.225042,1.925944
31,0.829865,0.832680,nan,0.200270,nan,2.132636
32,0.943228,0.944748,1.428208,0.200288,-6.035568,2.379329
33,0.577724,0.579623,nan,0.200288,nan,1.594117
34,0.620354,0.621154,2.021150,0.200306,-8.778340,1.690285
35,0.586477,0.586029,nan,0.200306,nan,1.616347
36,0.607033,0.607536,1.683671,0.200324,-6.907025,1.676354
37,0.806433,0.807631,nan,0.200324,nan,2.056795
